ID_Registro,Data_Manutencao,Numero_OS,Maquina,Setor,Fabricante,Tipo_Manutencao,Tecnico,Especialidade,Hora_Inicio,Hora_Fim,Horas_Parada,Custo_Manutencao,Peca_Utilizada,Quantidade_Pecas,Causa_Falha,Status_OS,Observacao
35,10-04-2025,OS-1035,Fresadora CNC,Usin.,Siemens,Preventiva,,Eletricista,19.1,14.7,-2.4,-1862.86,Sensor,5,Erro operador,Aberta,
36,2025-04-13,OS-1036,Dobradeira,Montagem ,Fanuc,Corretiva,,Eletricista,5.0,9.3,-18.9,-7666.07,Sensor,8,Falha elétrica,Aberta,
37,10-04-2025,OS-1037,Prensa Hidráulica,Usin.,WEG,Preditiva,,Eletricista,18.4,7.2,-14.5,-9821.61,Válvula,6,Erro operador,Aberta,
38,26/06/2025,OS-1038,Prensa Hidráulica,Montagem ,Siemens,Preventiva,,Mecânico,18.3,8.0,-21.8,-4009.59,Motor,8,Lubrificação,Aberta,
39,29/06/2025,OS-1039,Prensa Hidráulica,Montagem ,WEG,Preventiva,,Automação,4.3,16.6,-7.1,-3608.4,Válvula,6,Desgaste,Concluída,
40,23-04-2025,OS-1040,Dobradeira,Montagem ,Schneider,Corretiva,,Eletricista,9.5,16.7,-14.7,-5611.45,CLP,10,Erro operador,Concluída,
41,2025-05-22,OS-1041,Fresadora CNC,Montagem ,WEG,Preventiva,,Automação,13.2,12.4,-20.5,-14413.02,Correia,10,Lubrificação,Em andamento,
42,07/04/2025,OS-1042,Fresadora CNC,Montagem ,Fanuc,Preventiva,,Eletricista,9.7,8.1,-12.6,-10335.53,CLP,7,Falha mecânica,Em andamento,
43,2025-04-26,OS-1043,Centro de Usinagem,Usin.,Bosch,Preventiva,,Mecânico,12.6,12.6,-4.0,-5241.2,Rolamento,5,Erro operador,Concluída,
44,28/05/2025,OS-1044,Centro de Usinagem,Usin.,Fanuc,Preditiva,,Eletricista,17.2,3.1,-1.4,-6596.87,Válvula,1,Desgaste,Concluída,
45,08/06/2025,OS-1045,Dobradeira,Usin.,Fanuc,Corretiva,,Mecânico,9.7,9.9,-8.3,-2340.63,Válvula,4,Erro operador,Em andamento,
46,01-06-2025,OS-1046,Torno CNC,Usin.,Schneider,Preventiva,,Eletricista,11.0,14.2,-15.6,-3512.06,Motor,1,Erro operador,Em andamento,
47,2025-05-03,OS-1047,Dobradeira,Usin.,Fanuc,Corretiva,,Mecânico,9.7,18.6,-5.9,-1477.34,Válvula,10,Desgaste,Aberta,
48,2025-01-05,OS-1048,Compressor,Usin.,Fanuc,Preditiva,,Eletricista,18.9,16.2,-3.1,-4400.13,CLP,9,Erro operador,Em andamento,
49,2025-04-04,OS-1049,Injetora,Usin.,Bosch,Preditiva,,Mecânico,18.5,15.9,-12.0,-5552.44,Sensor,6,Falha elétrica,Concluída,
50,2025-04-19,OS-1050,Soldadora Robotizada,Usin.,Fanuc,Preventiva,,Automação,16.7,13.8,-11.7,-9990.53,Rolamento,1,Lubrificação,Concluída,
51,05/03/2025,OS-1051,Dobradeira,Montagem ,Bosch,Corretiva,,Automação,1.5,1.8,-7.1,-4460.38,CLP,7,Erro operador,Aberta,
52,2025-03-26,OS-1052,Compressor,Montagem ,Fanuc,Preventiva,,Mecânico,19.3,4.8,-7.1,-9998.8,Filtro,9,Falha elétrica,Em andamento,
53,2025-06-05,OS-1053,Centro de Usinagem,Usin.,Schneider,Corretiva,,Mecânico,13.4,11.9,-7.1,-7357.88,Rolamento,4,Falha elétrica,Aberta,
54,2025-03-01,OS-1054,Dobradeira,Usin.,Fanuc,Preventiva,,Eletricista,9.4,19.7,-10.7,-4833.4,Bomba,3,Erro operador,Em andamento,
55,2025-03-02,OS-1055,Injetora,Montagem ,Siemens,Preditiva,,Eletricista,3.7,6.9,-4.2,-4641.3,Rolamento,9,Falha mecânica,Em andamento,
56,29-04-2025,OS-1056,Dobradeira,Usin.,WEG,Preditiva,,Mecânico,13.0,1.2,-8.8,-12128.2,Rolamento,9,Falha mecânica,Em andamento,
57,2025-04-06,OS-1057,Prensa Hidráulica,Montagem ,Siemens,Preditiva,,Mecânico,1.3,13.2,-14.3,-7686.74,Válvula,4,Lubrificação,Aberta,
58,27-04-2025,OS-1058,Soldadora Robotizada,Montagem ,WEG,Preventiva,,Automação,2.3,1.6,-4.1,-5627.44,Rolamento,8,Desgaste,Aberta,
59,2025-02-25,OS-1059,Corte Laser,Usin.,Siemens,Corretiva,,Eletricista,14.7,9.8,-12.9,-6892.21,Filtro,10,Lubrificação,Em andamento,
60,2025-04-05,OS-1060,Prensa Hidráulica,Usin.,Fanuc,Corretiva,,Mecânico,8.1,5.4,-8.7,-10438.56,Filtro,5,Desgaste,Aberta,
61,08-05-2025,OS-1061,Compressor,Usin.,Bosch,Preditiva,,Mecânico,12.4,10.4,-16.4,-2161.33,Válvula,8,Lubrificação,Concluída,
62,18-04-2025,OS-1062,Compressor,Usin.,WEG,Corretiva,,Eletricista,5.2,17.6,-13.5,-5538.52,CLP,1,Lubrificação,Concluída,
63,25/06/2025,OS-1063,Esteira,Montagem ,Siemens,Preventiva,,Eletricista,10.6,8.9,-1.3,-13878.93,Correia,9,Desgaste,Em andamento,
64,2025-01-05,OS-1064,Esteira,Montagem ,Fanuc,Preditiva,,Eletricista,2.9,12.6,-2.1,-9197.75,CLP,8,Falha elétrica,Em andamento,
65,11-02-2025,OS-1065,Compressor,Montagem ,Bosch,Preditiva,,Automação,12.1,1.4,-7.8,-12667.05,Rolamento,10,Desgaste,Aberta,
66,2025-03-04,OS-1066,Injetora,Usin.,Bosch,Preditiva,,Mecânico,5.1,11.5,-9.2,-5960.37,Correia,7,Desgaste,Aberta,
67,2025-02-24,OS-1067,Fresadora CNC,Montagem ,Fanuc,Preventiva,,Mecânico,3.8,13.8,-8.9,-13552.96,Filtro,5,Erro operador,Aberta,
68,01-06-2025,OS-1068,Prensa Hidráulica,Usin.,Siemens,Preditiva,,Mecânico,18.4,7.2,-21.0,-14649.26,Sensor,2,Falha elétrica,Aberta,
69,2025-04-09,OS-1069,Dobradeira,Montagem ,Siemens,Corretiva,,Automação,15.9,18.5,-7.7,-8322.14,CLP,2,Lubrificação,Aberta,
70,14-06-2025,OS-1070,Fresadora CNC,Usin.,Siemens,Preventiva,,Automação,14.6,12.1,-7.0,-363.73,Bomba,7,Lubrificação,Concluída,
71,2025-05-15,OS-1071,Injetora,Usin.,WEG,Preditiva,,Automação,15.2,18.1,-2.8,-3379.95,Motor,10,Falha elétrica,Aberta,
72,03/04/2025,OS-1072,Fresadora CNC,Montagem ,Siemens,Preventiva,,Eletricista,19.6,10.6,-13.8,-3344.42,CLP,9,Falha mecânica,Em andamento,
73,2025-06-19,OS-1073,Centro de Usinagem,Usin.,Schneider,Corretiva,,Automação,7.2,12.7,-8.1,-3216.2,Rolamento,2,Erro operador,Concluída,
74,2025-01-11,OS-1074,Esteira,Montagem ,Siemens,Corretiva,,Eletricista,18.3,15.6,-4.1,-6573.37,Sensor,4,Erro operador,Aberta,
75,11/05/2025,OS-1075,Fresadora CNC,Montagem ,Siemens,Preventiva,,Mecânico,9.0,14.0,-2.4,-14966.45,Sensor,7,Erro operador,Aberta,
76,21/02/2025,OS-1076,Compressor,Usin.,Siemens,Preditiva,,Eletricista,18.4,8.2,-2.3,-10690.74,Motor,7,Lubrificação,Aberta,
77,2025-05-02,OS-1077,Compressor,Montagem ,Siemens,Preventiva,,Automação,19.6,6.0,-13.5,-10098.78,Válvula,10,Lubrificação,Concluída,
78,25-02-2025,OS-1078,Fresadora CNC,Usin.,Fanuc,Preventiva,,Automação,3.2,20.0,-22.9,-14046.77,Motor,10,Desgaste,Aberta,
79,2025-03-16,OS-1079,Centro de Usinagem,Montagem ,Schneider,Preditiva,,Mecânico,14.6,4.2,-5.0,-7741.66,Filtro,2,Falha mecânica,Em andamento,
80,18/03/2025,OS-1080,Dobradeira,Usin.,Fanuc,Preventiva,,Eletricista,1.4,10.6,-18.9,-2710.67,Motor,10,Falha mecânica,Aberta,
81,2025-03-17,OS-1081,Injetora,Usin.,Siemens,Preventiva,,Automação,16.7,17.6,-8.5,-7113.66,Correia,9,Falha elétrica,Concluída,
82,24-06-2025,OS-1082,Corte Laser,Usin.,Schneider,Corretiva,,Automação,11.8,4.5,-8.6,-4042.06,Filtro,5,Erro operador,Aberta,
83,2025-03-03,OS-1083,Compressor,Montagem ,Fanuc,Preventiva,,Mecânico,9.4,18.6,-12.9,-524.08,Motor,10,Erro operador,Aberta,
84,2025-04-21,OS-1084,Prensa Hidráulica,Usin.,Fanuc,Preditiva,,Mecânico,15.4,9.8,-8.0,-2272.14,Filtro,10,Falha mecânica,Concluída,
85,12/06/2025,OS-1085,Dobradeira,Montagem ,Bosch,Corretiva,,Automação,15.4,13.8,-17.2,-8225.53,Motor,8,Desgaste,Em andamento,
86,05-06-2025,OS-1086,Injetora,Usin.,Siemens,Corretiva,,Eletricista,6.9,14.1,-9.3,-12182.36,Correia,4,Lubrificação,Concluída,
87,2025-03-16,OS-1087,Soldadora Robotizada,Usin.,Siemens,Preditiva,,Mecânico,16.5,9.0,-12.3,-234.81,CLP,4,Falha elétrica,Concluída,
88,24-04-2025,OS-1088,Dobradeira,Montagem ,Fanuc,Corretiva,,Mecânico,6.4,1.9,-19.2,-14914.99,Motor,5,Erro operador,Em andamento,
89,23/06/2025,OS-1089,Dobradeira,Usin.,Siemens,Preventiva,,Mecânico,18.2,18.4,-22.0,-8169.81,Motor,10,Falha elétrica,Concluída,
90,30-03-2025,OS-1090,Centro de Usinagem,Usin.,Fanuc,Preditiva,,Mecânico,13.6,5.5,-13.4,-14613.71,CLP,2,Lubrificação,Concluída,
91,2025-02-01,OS-1091,Compressor,Usin.,Schneider,Preditiva,,Eletricista,12.6,8.8,-22.3,-13822.9,Rolamento,5,Erro operador,Em andamento,
92,2025-01-21,OS-1092,Prensa Hidráulica,Usin.,Schneider,Preditiva,,Mecânico,17.5,3.7,-6.9,-10070.9,Válvula,1,Lubrificação,Aberta,
93,02-01-2025,OS-1093,Esteira,Usin.,WEG,Preditiva,,Mecânico,13.2,18.6,-16.6,-6858.46,Sensor,1,Falha elétrica,Aberta,
94,26/04/2025,OS-1094,Injetora,Montagem ,Schneider,Corretiva,,Eletricista,10.3,18.2,-12.9,-7405.5,Correia,8,Falha elétrica,Aberta,
95,2025-03-01,OS-1095,Soldadora Robotizada,Usin.,WEG,Corretiva,,Automação,2.5,2.3,-0.6,-7496.55,Motor,3,Falha elétrica,Aberta,
96,22/01/2025,OS-1096,Injetora,Usin.,WEG,Corretiva,,Mecânico,15.4,11.5,-4.8,-4133.76,Rolamento,8,Falha mecânica,Concluída,
97,05-05-2025,OS-1097,Torno CNC,Usin.,Bosch,Corretiva,,Eletricista,2.1,6.3,-5.1,-13831.35,Sensor,9,Falha elétrica,Aberta,
98,2025-06-02,OS-1098,Fresadora CNC,Montagem ,Fanuc,Preditiva,,Eletricista,18.8,7.3,-7.9,-12367.88,Bomba,3,Falha mecânica,Concluída,
99,2025-04-07,OS-1099,Centro de Usinagem,Montagem ,WEG,Preditiva,,Mecânico,12.8,6.5,-1.6,-14594.16,Sensor,2,Falha elétrica,Aberta,
100,12/03/2025,OS-1100,Torno CNC,Usin.,WEG,Corretiva,,Mecânico,8.9,17.7,-6.4,-10173.31,Motor,6,Desgaste,Aberta,
101,03/05/2025,OS-1101,Fresadora CNC,Usin.,Siemens,Corretiva,,Mecânico,5.9,9.7,-16.5,-3246.49,Bomba,5,Erro operador,Aberta,
102,16-02-2025,OS-1102,Centro de Usinagem,Usin.,Schneider,Corretiva,,Eletricista,13.7,3.9,-6.5,-10103.94,Válvula,2,Desgaste,Concluída,
103,2025-04-28,OS-1103,Soldadora Robotizada,Usin.,Bosch,Preditiva,,Eletricista,13.8,15.1,-22.2,-9070.6,Motor,6,Falha elétrica,Aberta,
104,23-02-2025,OS-1104,Soldadora Robotizada,Montagem ,Bosch,Preventiva,,Mecânico,4.4,14.5,-15.6,-7406.03,Sensor,7,Falha mecânica,Em andamento,
105,2025-02-14,OS-1105,Esteira,Montagem ,Siemens,Preditiva,,Eletricista,1.5,11.3,-17.4,-8561.79,Correia,9,Falha mecânica,Em andamento,
106,10-01-2025,OS-1106,Soldadora Robotizada,Usin.,Fanuc,Preventiva,,Automação,4.0,7.0,-21.4,-8547.55,Sensor,2,Falha elétrica,Aberta,
107,2025-04-25,OS-1107,Esteira,Usin.,Fanuc,Preditiva,,Eletricista,14.1,4.2,-12.8,-10733.5,Rolamento,7,Lubrificação,Em andamento,
108,13/03/2025,OS-1108,Prensa Hidráulica,Montagem ,Schneider,Preditiva,,Mecânico,13.1,1.4,-19.2,-11220.27,Correia,2,Falha mecânica,Concluída,
109,2025-05-31,OS-1109,Injetora,Usin.,Fanuc,Preventiva,,Automação,15.7,2.6,-13.4,-4176.01,Rolamento,10,Falha mecânica,Em andamento,
110,19-02-2025,OS-1110,Centro de Usinagem,Usin.,Siemens,Corretiva,,Automação,17.8,15.2,-15.5,-10826.72,Bomba,9,Falha elétrica,Concluída,
111,03-05-2025,OS-1111,Torno CNC,Usin.,Fanuc,Preventiva,,Automação,17.0,16.4,-1.7,-6318.65,Sensor,4,Desgaste,Em andamento,
112,2025-01-08,OS-1112,Compressor,Montagem ,Bosch,Corretiva,,Mecânico,13.6,12.1,-19.9,-2757.36,Válvula,7,Lubrificação,Concluída,
113,15-01-2025,OS-1113,Fresadora CNC,Usin.,Siemens,Preditiva,,Mecânico,10.3,15.8,-22.9,-1225.55,Rolamento,9,Falha elétrica,Aberta,
114,09/06/2025,OS-1114,Centro de Usinagem,Montagem ,Schneider,Corretiva,,Eletricista,7.3,15.7,-4.4,-5879.02,Correia,9,Falha elétrica,Em andamento,
115,2025-02-22,OS-1115,Prensa Hidráulica,Usin.,Fanuc,Preventiva,,Eletricista,14.9,5.3,-1.3,-7704.55,Correia,7,Erro operador,Em andamento,
116,13-05-2025,OS-1116,Corte Laser,Usin.,Schneider,Preventiva,,Mecânico,8.5,5.2,-14.0,-13406.8,Rolamento,7,Erro operador,Em andamento,
117,06/01/2025,OS-1117,Corte Laser,Montagem ,Bosch,Preditiva,,Eletricista,3.9,2.9,-2.9,-3150.07,Rolamento,9,Desgaste,Aberta,
118,13-06-2025,OS-1118,Torno CNC,Usin.,Bosch,Preditiva,,Automação,12.8,14.3,-13.2,-9985.99,Válvula,2,Falha mecânica,Concluída,
119,05-06-2025,OS-1119,Compressor,Usin.,WEG,Preventiva,,Eletricista,7.6,19.2,-0.7,-9925.52,Sensor,6,Desgaste,Concluída,
120,10-03-2025,OS-1120,Corte Laser,Usin.,Siemens,Corretiva,,Mecânico,11.4,13.4,-18.6,-3191.53,Rolamento,7,Erro operador,Em andamento,
121,2025-04-05,OS-1121,Esteira,Montagem ,Fanuc,Preditiva,,Mecânico,2.3,7.0,-10.0,-10270.8,Válvula,2,Erro operador,Concluída,
122,20/05/2025,OS-1122,Soldadora Robotizada,Montagem ,Fanuc,Corretiva,,Mecânico,1.7,3.7,-13.6,-7096.43,CLP,6,Desgaste,Em andamento,
123,15/03/2025,OS-1123,Dobradeira,Usin.,Bosch,Corretiva,,Mecânico,5.0,8.3,-13.5,-7656.92,Correia,3,Lubrificação,Aberta,
124,2025-02-15,OS-1124,Soldadora Robotizada,Montagem ,Bosch,Preditiva,,Automação,5.0,3.1,-3.1,-14874.28,Rolamento,8,Lubrificação,Em andamento,
125,2025-05-13,OS-1125,Compressor,Usin.,Fanuc,Preventiva,,Eletricista,3.3,8.7,-15.6,-4389.06,Sensor,10,Erro operador,Aberta,
126,01-02-2025,OS-1126,Dobradeira,Montagem ,Fanuc,Preventiva,,Automação,8.4,14.3,-2.4,-9011.87,Motor,7,Falha elétrica,Concluída,
127,08/03/2025,OS-1127,Injetora,Montagem ,Siemens,Preventiva,,Eletricista,19.0,6.9,-10.0,-4102.6,Sensor,8,Falha mecânica,Em andamento,
128,2025-04-22,OS-1128,Injetora,Usin.,Bosch,Preventiva,,Mecânico,19.3,11.7,-11.9,-11818.13,Filtro,8,Desgaste,Em andamento,
129,2025-03-15,OS-1129,Centro de Usinagem,Usin.,Fanuc,Corretiva,,Mecânico,10.9,5.1,-6.2,-8508.79,CLP,9,Lubrificação,Em andamento,
130,2025-03-31,OS-1130,Fresadora CNC,Usin.,WEG,Preventiva,,Automação,5.7,7.6,-19.2,-11340.58,Válvula,2,Desgaste,Aberta,
131,25/03/2025,OS-1131,Injetora,Usin.,Bosch,Corretiva,,Mecânico,6.3,13.3,-16.2,-11152.62,Bomba,9,Falha elétrica,Em andamento,
132,24/04/2025,OS-1132,Dobradeira,Usin.,Fanuc,Preditiva,,Eletricista,1.8,19.1,-13.1,-14087.06,Válvula,7,Erro operador,Aberta,
133,03/01/2025,OS-1133,Dobradeira,Usin.,Schneider,Preventiva,,Automação,14.9,13.1,-3.3,-11168.06,Válvula,3,Desgaste,Concluída,
134,2025-03-13,OS-1134,Compressor,Montagem ,Fanuc,Preventiva,,Eletricista,16.7,8.9,-7.1,-14894.27,Rolamento,9,Desgaste,Concluída,
135,18/01/2025,OS-1135,Dobradeira,Montagem ,Schneider,Preventiva,,Automação,5.3,1.1,-2.2,-1105.66,Motor,1,Erro operador,Em andamento,
136,09-01-2025,OS-1136,Prensa Hidráulica,Montagem ,WEG,Preventiva,,Automação,7.1,1.6,-9.7,-7942.24,Válvula,4,Falha mecânica,Em andamento,
137,20/04/2025,OS-1137,Corte Laser,Usin.,Siemens,Preditiva,,Eletricista,17.2,5.2,-11.6,-11857.93,Correia,1,Lubrificação,Concluída,
138,22-05-2025,OS-1138,Fresadora CNC,Montagem ,Siemens,Preventiva,,Eletricista,17.7,16.0,-1.4,-11962.77,Rolamento,4,Falha mecânica,Concluída,
139,2025-04-10,OS-1139,Fresadora CNC,Montagem ,Schneider,Preventiva,,Eletricista,5.8,19.8,-20.8,-14880.38,Filtro,6,Desgaste,Aberta,
140,22/02/2025,OS-1140,Fresadora CNC,Usin.,Bosch,Preditiva,,Eletricista,15.8,4.7,-5.8,-2157.41,Sensor,10,Erro operador,Aberta,
141,2025-03-09,OS-1141,Compressor,Montagem ,Siemens,Preditiva,,Automação,17.6,6.8,-9.3,-1658.91,Bomba,8,Falha elétrica,Aberta,
142,19/01/2025,OS-1142,Prensa Hidráulica,Usin.,Schneider,Preditiva,,Automação,11.5,4.3,-20.1,-12392.43,Filtro,8,Erro operador,Aberta,
143,2025-06-12,OS-1143,Fresadora CNC,Usin.,Fanuc,Preventiva,,Mecânico,10.8,7.6,-20.5,-2541.89,Filtro,8,Desgaste,Em andamento,
144,29/01/2025,OS-1144,Centro de Usinagem,Usin.,Siemens,Preditiva,,Mecânico,5.7,6.3,-3.7,-13891.43,Válvula,7,Falha mecânica,Concluída,
145,2025-04-20,OS-1145,Fresadora CNC,Montagem ,Siemens,Preventiva,,Mecânico,8.4,3.0,-16.6,-173.38,Filtro,6,Falha mecânica,Em andamento,
146,17/06/2025,OS-1146,Corte Laser,Usin.,Bosch,Preventiva,,Eletricista,5.9,5.0,-20.8,-8044.73,Rolamento,4,Lubrificação,Em andamento,
147,19/03/2025,OS-1147,Compressor,Montagem ,WEG,Corretiva,,Mecânico,15.3,17.6,-7.1,-7239.08,Motor,3,Desgaste,Aberta,
148,2025-06-29,OS-1148,Centro de Usinagem,Montagem ,Fanuc,Preditiva,,Mecânico,9.5,5.1,-10.6,-13172.02,Sensor,3,Falha elétrica,Aberta,
149,2025-06-28,OS-1149,Torno CNC,Montagem ,Fanuc,Corretiva,,Mecânico,7.7,6.2,-0.8,-14980.45,Motor,4,Erro operador,Em andamento,
150,13/02/2025,OS-1150,Injetora,Usin.,Siemens,Preditiva,,Eletricista,15.9,11.0,-10.9,-2353.2,Motor,1,Falha elétrica,Aberta,
151,2025-01-04,OS-1151,Prensa Hidráulica,Montagem ,Fanuc,Corretiva,,Mecânico,18.8,13.7,-13.9,-1452.29,Motor,8,Desgaste,Aberta,
152,22-04-2025,OS-1152,Prensa Hidráulica,Montagem ,WEG,Preditiva,,Eletricista,12.4,4.3,-4.1,-6458.13,Bomba,8,Desgaste,Concluída,
153,2025-06-03,OS-1153,Dobradeira,Montagem ,Schneider,Corretiva,,Eletricista,4.7,4.7,-19.3,-9034.55,CLP,4,Erro operador,Aberta,
154,03-04-2025,OS-1154,Corte Laser,Usin.,WEG,Preventiva,,Automação,9.6,13.6,-3.5,-11993.44,Bomba,10,Desgaste,Concluída,
155,21-01-2025,OS-1155,Corte Laser,Usin.,Fanuc,Preditiva,,Mecânico,5.0,2.8,-2.2,-11955.99,CLP,9,Falha mecânica,Concluída,
156,25/03/2025,OS-1156,Torno CNC,Montagem ,WEG,Preditiva,,Eletricista,12.4,13.3,-15.8,-13669.29,Correia,5,Desgaste,Em andamento,
157,03/05/2025,OS-1157,Corte Laser,Montagem ,Schneider,Corretiva,,Automação,2.3,5.7,-11.0,-14676.74,Bomba,7,Lubrificação,Em andamento,
158,09-03-2025,OS-1158,Injetora,Usin.,Siemens,Preventiva,,Mecânico,5.3,4.6,-10.9,-5064.22,CLP,5,Lubrificação,Aberta,
159,04/05/2025,OS-1159,Prensa Hidráulica,Usin.,WEG,Corretiva,,Eletricista,1.4,18.7,-17.2,-1238.04,Sensor,3,Falha mecânica,Aberta,
160,2025-03-29,OS-1160,Esteira,Usin.,Fanuc,Preditiva,,Automação,17.6,10.8,-2.1,-13459.02,Bomba,6,Falha elétrica,Aberta,
161,07-02-2025,OS-1161,Centro de Usinagem,Usin.,Schneider,Preventiva,,Eletricista,16.4,4.2,-11.5,-5012.82,Rolamento,3,Erro operador,Aberta,
